id,plan,area,age,premium
199,p01,r34,35,273.00
200,p01,r34,36,275.00
201,p01,r34,37,277.00
202,p01,r34,38,279.00
203,p01,r34,39,282.00
204,p01,r34,40,286.00
205,p01,r34,41,291.00
206,p01,r34,42,296.00
207,p01,r34,43,303.00
208,p01,r34,44,312.00
209,p01,r34,45,323.00
210,p01,r34,46,335.00
211,p01,r34,47,349.00
212,p01,r34,48,366.00
213,p01,r34,49,381.00
214,p01,r34,50,399.00
215,p01,r34,51,417.00
216,p01,r34,52,436.00
217,p01,r34,53,456.00
218,p01,r34,54,477.00
219,p01,r34,55,499.00
220,p01,r34,56,522.00
221,p01,r34,57,545.00
222,p01,r34,58,570.00
223,p01,r34,59,582.00
224,p01,r34,60,607.00
225,p01,r34,61,628.00
226,p01,r34,62,642.00
227,p01,r34,63,660.00
228,p01,r34,64,668.00
229,p01,r34,65,668.00
230,p01,r40,20,127.00
231,p01,r40,21,199.00
232,p01,r40,22,199.00
233,p01,r40,23,199.00
234,p01,r40,24,199.00
235,p01,r40,25,200.00
236,p01,r40,26,204.00
237,p01,r40,27,209.00
238,p01,r40,28,217.00
239,p01,r40,29,223.00
240,p01,r40,30,226.00
241,p01,r40,31,231.00
242,p01,r40,32,236.00
243,p01,r40,33,239.00
244,p01,r40,34,242.00
245,p01,r40,35,244.00
246,p01,r40,36,245.00
247,p01,r40,37,247.00
248,p01,r40,38,248.00
249,p01,r40,39,252.00
250,p01,r40,40,255.00
251,p01,r40,41,260.00
252,p01,r40,42,264.00
253,p01,r40,43,271.00
254,p01,r40,44,279.00
255,p01,r40,45,288.00
256,p01,r40,46,299.00
257,p01,r40,47,312.00
258,p01,r40,48,326.00
259,p01,r40,49,340.00
260,p01,r40,50,356.00
261,p01,r40,51,372.00
262,p01,r40,52,389.00
263,p01,r40,53,407.00
264,p01,r40,54,426.00
265,p01,r40,55,445.00
266,p01,r40,56,465.00
267,p01,r40,57,486.00
268,p01,r40,58,508.00
269,p01,r40,59,519.00
270,p01,r40,60,541.00
271,p01,r40,61,560.00
272,p01,r40,62,573.00
273,p01,r40,63,589.00
274,p01,r40,64,596.00
275,p01,r40,65,596.00
276,p01,r41,20,147.00
277,p01,r41,21,232.00
278,p01,r41,22,232.00
279,p01,r41,23,232.00
280,p01,r41,24,232.00
281,p01,r41,25,233.00
282,p01,r41,26,238.00
283,p01,r41,27,243.00
284,p01,r41,28,252.00
285,p01,r41,29,260.00
286,p01,r41,30,263.00
287,p01,r41,31,269.00
288,p01,r41,32,274.00
289,p01,r41,33,278.00
290,p01,r41,34,282.00
291,p01,r41,35,283.00
292,p01,r41,36,285.00
293,p01,r41,37,287.00
294,p01,r41,38,289.00
295,p01,r41,39,293.00
296,p01,r41,40,296.00
297,p01,r41,41,302.00
298,p01,r41,42,307.00
299,p01,r41,43,315.00
300,p01,r41,44,324.00
301,p01,r41,45,335.00
302,p01,r41,46,348.00
303,p01,r41,47,363.00
304,p01,r41,48,379.00
305,p01,r41,49,396.00
306,p01,r41,50,414.00
307,p01,r41,51,433.00
308,p01,r41,52,453.00
309,p01,r41,53,473.00
310,p01,r41,54,495.00
311,p01,r41,55,517.00
312,p01,r41,56,541.00
313,p01,r41,57,565.00
314,p01,r41,58,591.00
315,p01,r41,59,604.00
316,p01,r41,60,630.00
317,p01,r41,61,652.00
318,p01,r41,62,666.00
319,p01,r41,63,685.00
320,p01,r41,64,694.00
321,p01,r41,65,694.00
322,p01,r43,20,137.00
323,p01,r43,21,216.00
324,p01,r43,22,216.00
325,p01,r43,23,216.00
326,p01,r43,24,216.00
327,p01,r43,25,217.00
328,p01,r43,26,221.00
329,p01,r43,27,226.00
330,p01,r43,28,235.00
331,p01,r43,29,242.00
332,p01,r43,30,245.00
333,p01,r43,31,250.00
334,p01,r43,32,256.00
335,p01,r43,33,259.00
336,p01,r43,34,262.00
337,p01,r43,35,264.00
338,p01,r43,36,266.00
339,p01,r43,37,267.00
340,p01,r43,38,269.00
341,p01,r43,39,273.00
342,p01,r43,40,276.00
343,p01,r43,41,281.00
344,p01,r43,42,286.00
345,p01,r43,43,293.00
346,p01,r43,44,302.00
347,p01,r43,45,312.00
348,p01,r43,46,324.00
349,p01,r43,47,338.00
350,p01,r43,48,353.00
351,p01,r43,49,369.00
352,p01,r43,50,386.00
353,p01,r43,51,403.00
354,p01,r43,52,422.00
355,p01,r43,53,441.00
356,p01,r43,54,461.00
357,p01,r43,55,482.00
358,p01,r43,56,504.00
359,p01,r43,57,526.00
360,p01,r43,58,550.00
361,p01,r43,59,562.00
362,p01,r43,60,586.00
363,p01,r43,61,607.00
364,p01,r43,62,621.00
365,p01,r43,63,638.00
366,p01,r43,64,646.00
367,p01,r43,65,646.00
368,p01,r48,20,142.00
369,p01,r48,21,224.00
370,p01,r48,22,224.00
371,p01,r48,23,224.00
372,p01,r48,24,224.00
373,p01,r48,25,224.00
374,p01,r48,26,229.00
375,p01,r48,27,234.00
376,p01,r48,28,243.00
377,p01,r48,29,250.00
378,p01,r48,30,254.00
379,p01,r48,31,259.00
380,p01,r48,32,264.00
381,p01,r48,33,268.00
382,p01,r48,34,271.00
383,p01,r48,35,273.00
384,p01,r48,36,275.00
385,p01,r48,37,277.00
386,p01,r48,38,279.00
387,p01,r48,39,282.00
388,p01,r48,40,286.00
389,p01,r48,41,291.00
390,p01,r48,42,296.00
391,p01,r48,43,303.00
392,p01,r48,44,312.00
393,p01,r48,45,323.00
394,p01,r48,46,335.00
395,p01,r48,47,349.00
396,p01,r48,48,366.00
397,p01,r48,49,381.00
398,p01,r48,50,399.00
399,p01,r48,51,417.00
400,p01,r48,52,436.00
401,p01,r48,53,456.00
402,p01,r48,54,477.00
403,p01,r48,55,499.00
404,p01,r48,56,522.00
405,p01,r48,57,545.00
406,p01,r48,58,570.00
407,p01,r48,59,582.00
408,p01,r48,60,607.00
409,p01,r48,61,628.00
410,p01,r48,62,642.00
411,p01,r48,63,660.00
412,p01,r48,64,668.00
413,p01,r48,65,668.00
414,p01,r49,20,142.00
415,p01,r49,21,224.00
416,p01,r49,22,224.00
417,p01,r49,23,224.00
418,p01,r49,24,224.00
419,p01,r49,25,224.00
420,p01,r49,26,229.00
421,p01,r49,27,234.00
422,p01,r49,28,243.00
423,p01,r49,29,250.00
424,p01,r49,30,254.00
425,p01,r49,31,259.00
426,p01,r49,32,264.00
427,p01,r49,33,268.00
428,p01,r49,34,271.00
429,p01,r49,35,273.00
430,p01,r49,36,275.00
431,p01,r49,37,277.00
432,p01,r49,38,279.00
433,p01,r49,39,282.00
434,p01,r49,40,286.00
435,p01,r49,41,291.00
436,p01,r49,42,296.00
437,p01,r49,43,303.00
438,p01,r49,44,312.00
439,p01,r49,45,323.00
440,p01,r49,46,335.00
441,p01,r49,47,349.00
442,p01,r49,48,366.00
443,p01,r49,49,381.00
444,p01,r49,50,399.00
445,p01,r49,51,417.00
446,p01,r49,52,436.00
447,p01,r49,53,456.00
448,p01,r49,54,477.00
449,p01,r49,55,499.00
450,p01,r49,56,522.00
451,p01,r49,57,545.00
452,p01,r49,58,570.00
453,p01,r49,59,582.00
454,p01,r49,60,607.00
455,p01,r49,61,628.00
456,p01,r49,62,642.00
457,p01,r49,63,660.00
458,p01,r49,64,668.00
459,p01,r49,65,668.00
460,p01,r05,20,130.00
461,p01,r05,21,205.00
462,p01,r05,22,205.00
463,p01,r05,23,205.00
464,p01,r05,24,205.00
465,p01,r05,25,206.00
466,p01,r05,26,210.00
467,p01,r05,27,215.00
468,p01,r05,28,223.00
469,p01,r05,29,229.00
470,p01,r05,30,233.00
471,p01,r05,31,238.00
472,p01,r05,32,243.00
473,p01,r05,33,246.00
474,p01,r05,34,249.00
475,p01,r05,35,251.00
476,p01,r05,36,252.00
477,p01,r05,37,254.00
478,p01,r05,38,256.00
479,p01,r05,39,259.00
480,p01,r05,40,262.00
481,p01,r05,41,267.00
482,p01,r05,42,272.00
483,p01,r05,43,278.00
484,p01,r05,44,287.00
485,p01,r05,45,296.00
486,p01,r05,46,308.00
487,p01,r05,47,321.00
488,p01,r05,48,335.00
489,p01,r05,49,350.00
490,p01,r05,50,366.00
491,p01,r05,51,382.00
492,p01,r05,52,400.00
493,p01,r05,53,418.00
494,p01,r05,54,438.00
495,p01,r05,55,457.00
496,p01,r05,56,478.00
497,p01,r05,57,500.00
498,p01,r05,58,523.00
499,p01,r05,59,534.00
500,p01,r05,60,557.00
501,p01,r05,61,576.00
502,p01,r05,62,589.00
503,p01,r05,63,605.00
504,p01,r05,64,613.00
505,p01,r05,65,613.00
506,p01,r50,20,133.00
507,p01,r50,21,209.00
508,p01,r50,22,209.00
509,p01,r50,23,209.00
510,p01,r50,24,209.00
511,p01,r50,25,210.00
512,p01,r50,26,214.00
513,p01,r50,27,219.00
514,p01,r50,28,227.00
515,p01,r50,29,234.00
516,p01,r50,30,238.00
517,p01,r50,31,243.00
518,p01,r50,32,248.00
519,p01,r50,33,251.00
520,p01,r50,34,254.00
521,p01,r50,35,256.00
522,p01,r50,36,257.00
523,p01,r50,37,259.00
524,p01,r50,38,261.00
525,p01,r50,39,264.00
526,p01,r50,40,267.00
527,p01,r50,41,272.00
528,p01,r50,42,277.00
529,p01,r50,43,284.00
530,p01,r50,44,292.00
531,p01,r50,45,302.00
532,p01,r50,46,314.00
533,p01,r50,47,327.00
534,p01,r50,48,342.00
535,p01,r50,49,357.00
536,p01,r50,50,374.00
537,p01,r50,51,390.00
538,p01,r50,52,409.00
539,p01,r50,53,427.00
540,p01,r50,54,447.00
541,p01,r50,55,467.00
542,p01,r50,56,488.00
543,p01,r50,57,510.00
544,p01,r50,58,533.00
545,p01,r50,59,545.00
546,p01,r50,60,568.00
547,p01,r50,61,588.00
548,p01,r50,62,601.00
549,p01,r50,63,618.00
550,p01,r50,64,626.00
551,p01,r50,65,626.00
552,p01,r51,20,133.00
553,p01,r51,21,210.00
554,p01,r51,22,210.00
555,p01,r51,23,210.00
556,p01,r51,24,210.00
557,p01,r51,25,211.00
558,p01,r51,26,215.00
559,p01,r51,27,220.00
560,p01,r51,28,228.00
561,p01,r51,29,235.00
562,p01,r51,30,238.00
563,p01,r51,31,243.00
564,p01,r51,32,248.00
565,p01,r51,33,251.00
566,p01,r51,34,255.00
567,p01,r51,35,257.00
568,p01,r51,36,258.00
569,p01,r51,37,260.00
570,p01,r51,38,262.00
571,p01,r51,39,265.00
572,p01,r51,40,268.00
573,p01,r51,41,273.00
574,p01,r51,42,278.00
575,p01,r51,43,285.00
576,p01,r51,44,293.00
577,p01,r51,45,303.00
578,p01,r51,46,315.00
579,p01,r51,47,328.00
580,p01,r51,48,343.00
581,p01,r51,49,358.00
582,p01,r51,50,375.00
583,p01,r51,51,391.00
584,p01,r51,52,410.00
585,p01,r51,53,428.00
586,p01,r51,54,448.00
587,p01,r51,55,468.00
588,p01,r51,56,490.00
589,p01,r51,57,512.00
590,p01,r51,58,535.00
591,p01,r51,59,546.00
592,p01,r51,60,570.00
593,p01,r51,61,590.00
594,p01,r51,62,603.00
595,p01,r51,63,620.00
596,p01,r51,64,628.00
597,p01,r51,65,628.00
598,p01,r52,20,133.00
599,p01,r52,21,210.00
600,p01,r52,22,210.00
601,p01,r52,23,210.00
602,p01,r52,24,210.00
603,p01,r52,25,211.00
604,p01,r52,26,215.00
605,p01,r52,27,220.00
606,p01,r52,28,228.00
607,p01,r52,29,235.00
608,p01,r52,30,238.00
609,p01,r52,31,243.00
610,p01,r52,32,248.00
611,p01,r52,33,251.00
612,p01,r52,34,255.00
613,p01,r52,35,257.00
614,p01,r52,36,258.00
615,p01,r52,37,260.00
616,p01,r52,38,262.00
617,p01,r52,39,265.00
618,p01,r52,40,268.00
619,p01,r52,41,273.00
620,p01,r52,42,278.00
621,p01,r52,43,285.00
622,p01,r52,44,293.00
623,p01,r52,45,303.00
624,p01,r52,46,315.00
625,p01,r52,47,328.00
626,p01,r52,48,343.00
627,p01,r52,49,358.00
628,p01,r52,50,375.00
629,p01,r52,51,391.00
630,p01,r52,52,410.00
631,p01,r52,53,428.00
632,p01,r52,54,448.00
633,p01,r52,55,468.00
634,p01,r52,56,490.00
635,p01,r52,57,512.00
636,p01,r52,58,535.00
637,p01,r52,59,546.00
638,p01,r52,60,570.00
639,p01,r52,61,590.00
640,p01,r52,62,603.00
641,p01,r52,63,620.00
